아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문9-5. 주요 이용 숙박시설_1,문9-5. 주요 이용 숙박시설_2,문9-5. 주요 이용 숙박시설_3,문9-5. 주요 이용 숙박시설_4,문9-5. 주요 이용 숙박시설_5,문9-5. 주요 이용 숙박시설_6,문9-5. 주요 이용 숙박시설_7,문9-5. 주요 이용 숙박시설_8,문9-5. 주요 이용 숙박시설_9,문9-5. 숙박시설별 숙박기간_호텔,문9-5. 숙박시설별 숙박기간_모텔/여관,문9-5. 숙박시설별 숙박기간_콘도미니엄/리조트,문9-5. 숙박시설별 숙박기간_게스트하우스/호스텔,문9-5. 숙박시설별 숙박기간_민박/펜션,"문9-5. 숙박시설별 숙박기간_학교/회사 기숙사, 연수원 등",문9-5. 숙박시설별 숙박기간_친척 또는 친구 집,문9-5. 숙박시설별 숙박기간_기타,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
142,1,1,2,1,1,1.0,13.0,2.0,192.142857142857,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,1,서울
143,17,1,3,1,1,10.0,2.0,4.0,120.0,20.0,1.0,,,,,,,,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
144,2,2,2,1,1,4.0,8.0,6.0,266.25,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,부산
145,5,1,3,1,2,8.0,12.0,5.0,173.578571428571,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
146,2,2,5,1,4,5.0,1.0,6.0,205.99865,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,부산
147,5,1,2,1,1,3.0,2.0,3.0,325.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
148,97,2,5,1,1,1.0,6.0,3.0,236.666666666667,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
150,15,1,2,1,1,1.0,12.0,6.0,380.620214285714,7.0,1.0,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
151,4,1,4,1,1,1.0,1.0,6.0,187.5,8.0,,,,,,,,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,기타,혼자형,1,서울
152,1,2,3,1,1,1.0,7.0,3.0,400.0,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,1,서울
