아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
8198,6,2,3,3,4,10.0,6,2,3.0,호텔,친구형,1,부산,0.234,0.020066889632107,0.0,0.1003344481605348,0.0,0.2341137123745822,0.4013377926421402,0.0100334448160534
8200,8,2,5,1,1,4.0,6,2,3.0,호텔,단체형,1,부산,0.205,0.040983606557377,0.0491803278688524,0.0,0.0,0.1639344262295079,0.532786885245902,0.0081967213114754
8201,6,2,3,1,3,1.0,6,2,2.0,호텔,직장형,1,부산,0.0,0.0,0.0,0.0,0.6,0.0,0.3999999999999999,0.0
8202,6,2,2,1,7,10.0,5,2,2.0,게스트하우스/호스텔,친구형,2,부산,0.389,0.0656565656565656,0.0505050505050505,0.0,0.0,0.2525252525252525,0.2171717171717171,0.0252525252525252
8203,4,2,2,1,1,5.0,3,3,3.0,호텔,친구형,2,서울,0.37,0.1138790035587188,0.0,0.0,0.0,0.2846975088967972,0.2135231316725978,0.0177935943060498
8204,8,2,4,1,1,4.0,3,2,3.0,호텔,복합형(가족+친구),4,서울,0.065,0.0,0.0,0.0,0.548387096774194,0.0,0.387096774193548,0.0
8205,8,2,2,1,7,6.0,6,2,2.0,호텔,친구형,2,부산,0.374,0.0639269406392694,0.0,0.045662100456621,0.0,0.273972602739726,0.228310502283105,0.0136986301369863
8207,8,2,3,2,7,3.0,6,2,2.0,호텔,단체형,2,부산,0.055,0.0,0.0,0.0,0.6456692913385826,0.0,0.2992125984251969,0.0
8209,7,2,2,1,4,5.0,6,2,2.0,호텔,직장형,2,경북,0.0,0.0,0.0,0.0,0.7663551401869159,0.0,0.2336448598130841,0.0
8211,7,2,2,1,7,5.0,6,2,2.0,호텔,친구형,1,부산,0.408,0.0636942675159235,0.1273885350318471,0.0636942675159235,0.0,0.3184713375796178,0.0,0.019108280254777
8214,3,1,2,1,5,6.0,3,2,2.0,호텔,단체형,1,부산,0.033,0.0,0.0,0.0,0.6666666666666666,0.0,0.3,0.0
8216,2,2,5,3,6,2.0,3,2,1.0,호텔,단체형,1,부산,0.116,0.0,0.0,0.1162790697674417,0.0,0.0697674418604651,0.6976744186046514,0.0
8217,2,1,2,1,1,1.0,6,2,1.0,호텔,친구형,1,부산,0.306,0.0,0.0,0.0,0.0,0.285714285714285,0.4081632653061223,0.0
8218,2,2,2,1,6,3.0,6,2,1.0,호텔,친구형,1,부산,0.283,0.0434782608695652,0.0217391304347826,0.0,0.0,0.2173913043478257,0.4347826086956527,0.0
8219,8,2,3,1,1,5.0,3,2,3.0,호텔,가족형,2,서울,0.242,0.1515151515151515,0.0909090909090909,0.0,0.0,0.303030303030303,0.2121212121212121,0.0
8220,8,2,5,1,1,5.0,3,2,3.0,호텔,복합형(가족+친구),1,서울,0.24,0.0319488817891373,0.0798722044728433,0.0,0.0,0.4792332268370611,0.1597444089456867,0.0095846645367412
8221,8,1,3,2,2,4.0,2,2,2.0,호텔,직장형,1,서울,0.085,0.0423728813559321,0.0169491525423728,0.0,0.6779661016949154,0.0,0.1694915254237287,0.0084745762711864
8222,8,2,4,2,4,10.0,5,4,2.0,호텔,친구형,1,서울,0.2,0.0,0.0,0.0,0.6,0.0,0.2,0.0
8225,8,2,5,2,6,2.0,5,2,2.0,호텔,직장형,1,서울,0.167,0.125,0.0,0.0,0.0,0.3750000000000003,0.3333333333333331,0.0
8227,8,1,2,1,7,5.0,1,2,2.0,호텔,단체형,2,서울,0.194,0.0,0.0,0.0,0.6451612903225806,0.0,0.1612903225806451,0.0
8229,8,2,4,1,1,4.0,5,4,3.0,호텔,단체형,1,서울,0.428,0.0149892933618843,0.0107066381156317,0.0,0.0,0.428265524625267,0.1070663811563171,0.0107066381156317
8232,19,1,3,1,3,1.0,3,2,4.0,호텔,가족형,2,서울,0.203,0.1016949152542376,0.0169491525423728,0.0,0.0,0.5084745762711865,0.1694915254237286,0.0
8234,19,2,2,1,6,10.0,3,1,4.0,호텔,가족형,2,서울,0.151,0.0948275862068964,0.0387931034482758,0.0,0.0,0.3879310344827583,0.3017241379310347,0.0258620689655172
8237,19,1,4,1,7,4.0,3,2,4.0,모텔/여관,혼자형,1,서울,0.303,0.0606060606060608,0.0121212121212121,0.0,0.0,0.303030303030303,0.303030303030303,0.0181818181818181
8238,8,1,4,3,2,3.0,6,4,2.0,호텔,혼자형,1,서울,0.201,0.0176937156802928,0.0,0.0,0.0,0.4758999389871863,0.305064063453326,0.0
8239,19,2,5,1,7,4.0,3,2,4.0,호텔,가족형,1,서울,0.268,0.1116071428571429,0.0223214285714285,0.0,0.0,0.3571428571428571,0.2232142857142854,0.0178571428571428
8240,8,2,3,1,1,10.0,6,2,3.0,호텔,가족형,1,서울,0.132,0.1409691629955949,0.0220264317180616,0.0,0.0,0.4405286343612329,0.2202643171806168,0.0440528634361232
8245,18,1,4,1,7,4.0,6,2,4.0,호텔,가족형,1,서울,0.195,0.0625,0.0390624999999999,0.0,0.0,0.5859375,0.1171874999999998,0.0
8246,3,2,3,4,6,11.0,3,2,2.0,호텔,친구형,1,서울,0.125,0.0779411764705882,0.0,0.0,0.0,0.411764705882353,0.3676470588235294,0.0176470588235294
8247,19,2,2,1,7,1.0,3,2,4.0,호텔,복합형(가족+친구),3,서울,0.179,0.0501792114695342,0.0358422939068101,0.0,0.0,0.3584229390680999,0.3584229390680999,0.017921146953405
8248,3,2,5,4,4,2.0,5,4,2.0,호텔,가족형,1,서울,0.08,0.0123099203475742,0.0,0.0,0.2534395365677045,0.0,0.6517016654598118,0.002896451846488
8249,11,2,3,3,7,2.0,6,3,3.0,호텔,친구형,1,서울,0.105,0.0315623356128352,0.0,0.1578116780641765,0.0,0.1683324566017881,0.5260389268805902,0.0110468174644923
8250,8,2,2,1,8,1.0,3,2,2.0,호텔,직장형,1,서울,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0277777777777777
8251,18,1,3,3,2,3.0,5,2,1.0,호텔,가족형,1,서울,0.333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
8256,97,1,3,1,1,9.0,6,2,4.0,게스트하우스/호스텔,가족형,5,서울,0.349,0.0873362445414847,0.0524017467248908,0.0,0.0,0.4366812227074239,0.0524017467248908,0.0218340611353711
8259,97,2,3,4,2,5.0,3,2,4.0,호텔,혼자형,3,부산,0.174,0.3043478260869564,0.0217391304347826,0.0,0.0,0.4347826086956521,0.0434782608695652,0.0217391304347826
8260,16,2,2,1,1,5.0,6,3,1.0,게스트하우스/호스텔,혼자형,1,서울,0.256,0.0769230769230768,0.0,0.0,0.0,0.3076923076923075,0.3076923076923075,0.0512820512820511
8261,97,2,5,1,1,4.0,6,2,4.0,호텔,가족형,5,서울,0.338,0.153846153846154,0.0307692307692307,0.0,0.0,0.3076923076923076,0.153846153846154,0.0153846153846154
8264,13,2,3,4,6,5.0,6,2,4.0,민박/펜션,친구형,1,서울,0.085,0.0893617021276596,0.0,0.0,0.0,0.1702127659574475,0.6382978723404246,0.0170212765957447
8266,4,1,6,2,3,4.0,6,3,4.0,호텔,가족형,2,서울,0.221,0.2123893805309732,0.0,0.0,0.0,0.5309734513274337,0.0353982300884956,0.0
8268,13,2,2,1,7,2.0,1,3,2.0,호텔,단체형,2,서울,0.004,0.0,0.0,0.0,0.5976095617529881,0.0,0.398406374501992,0.0
8269,13,1,2,1,7,4.0,6,2,2.0,호텔,직장형,3,서울,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
8270,18,1,2,1,1,3.0,5,2,3.0,호텔,가족형,2,서울,0.154,0.1282051282051282,0.0256410256410256,0.0,0.0,0.4102564102564103,0.2307692307692307,0.0512820512820512
8273,97,2,3,1,1,2.0,3,2,4.0,호텔,가족형,3,서울,0.401,0.0935828877005346,0.0294117647058823,0.0,0.0,0.2005347593582887,0.2673796791443851,0.0080213903743315
