아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
3768,7,2,1,3,2,2.0,6,2,2.0,호텔,친구형,1,서울,0.003,0.0066006600660066,0.0,0.0,0.0,0.33003300330033,0.6600660066006601,0.0
3769,9,2,4,1,1,5.0,6,2,3.0,호텔,가족형,2,서울,0.254,0.1616628175519631,0.0092378752886836,0.0,0.0,0.3233256351039261,0.2309468822170899,0.0207852193995381
3772,9,1,2,4,2,2.0,6,3,4.0,호텔,가족형,1,서울,0.163,0.0465116279069767,0.0,0.0,0.0,0.6976744186046512,0.0930232558139534,0.0
3775,5,2,2,1,6,1.0,4,2,3.0,호텔,혼자형,2,서울,0.275,0.0752293577981651,0.0,0.0,0.0,0.1834862385321099,0.4587155963302753,0.0073394495412844
3778,5,2,3,4,2,1.0,6,2,2.0,호텔,친구형,1,서울,0.292,0.0437956204379562,0.0,0.0,0.0,0.2919708029197081,0.3649635036496346,0.0072992700729927
3780,14,2,4,2,3,4.0,6,2,4.0,친척 또는 친구 집,가족형,3,경기,0.06,0.2686567164179105,0.0,0.298507462686567,0.0,0.0597014925373134,0.298507462686567,0.0149253731343283
3781,4,1,2,1,1,9.0,3,2,4.0,호텔,가족형,2,서울,0.252,0.0756302521008403,0.0,0.0,0.0,0.4201680672268907,0.2521008403361344,0.0
3784,14,1,2,1,4,10.0,6,3,2.0,호텔,친구형,1,서울,0.197,0.131578947368421,0.131578947368421,0.0,0.0,0.3289473684210517,0.1973684210526321,0.0131578947368421
3785,9,2,3,4,6,5.0,6,2,1.0,민박/펜션,혼자형,2,서울,0.238,0.2857142857142857,0.0,0.0,0.0,0.4761904761904762,0.0,0.0
3786,3,1,5,1,4,2.0,5,3,2.0,호텔,가족형,3,인천,0.0,0.0,0.0,0.0,0.1946308724832215,0.0,0.8053691275167785,0.0
3789,9,1,1,2,2,10.0,4,2,3.0,게스트하우스/호스텔,가족형,1,서울,0.401,0.160427807486631,0.0,0.0,0.0,0.3048128342245989,0.1336898395721925,0.0
3790,3,1,4,2,7,4.0,6,2,2.0,호텔,친구형,2,서울,0.155,0.115919629057187,0.061823802163833,0.0,0.0,0.0772797527047913,0.579598145285935,0.0108191653786707
3791,14,2,3,2,6,2.0,1,2,3.0,게스트하우스/호스텔,혼자형,1,서울,0.297,0.0524017467248907,0.0,0.0,0.0,0.2620087336244544,0.3493449781659384,0.0393013100436681
3792,3,2,2,2,5,10.0,6,2,2.0,호텔,가족형,1,서울,0.245,0.027972027972028,0.0,0.2797202797202795,0.0,0.1748251748251751,0.2447552447552447,0.0279720279720279
3793,10,1,5,1,1,4.0,3,2,4.0,호텔,가족형,2,서울,0.147,0.1029411764705883,0.0,0.0,0.0,0.2941176470588235,0.4411764705882353,0.0147058823529411
3795,12,1,2,1,6,10.0,3,2,4.0,호텔,가족형,2,서울,0.085,0.0468085106382978,0.0,0.0,0.0,0.2553191489361698,0.5957446808510644,0.0170212765957446
3796,12,2,3,2,4,2.0,5,4,1.0,호텔,가족형,1,서울,0.047,0.0083333333333333,0.0,0.0,0.0,0.1111111111111111,0.8333333333333334,0.0
3798,13,2,5,1,6,10.0,6,2,3.0,호텔,가족형,1,서울,0.099,0.0728476821192053,0.0,0.0,0.0,0.1655629139072847,0.6622516556291391,0.0
3799,13,1,3,1,5,1.0,3,2,2.0,호텔,가족형,2,서울,0.0,0.0,0.0,0.0,0.7727272727272727,0.0,0.2272727272727272,0.0
3803,9,2,3,1,1,3.0,6,2,2.0,호텔,가족형,1,서울,0.133,0.0362537764350453,0.0,0.0,0.0,0.3323262839879151,0.4833836858006045,0.0151057401812688
3807,9,2,5,1,4,3.0,6,2,3.0,호텔,가족형,2,서울,0.067,0.0,0.0,0.0,0.6666666666666666,0.0,0.2666666666666666,0.0
3808,9,1,4,1,1,2.0,3,2,3.0,호텔,복합형(가족+친구),2,서울,0.0,0.0,0.0,0.0,0.6875,0.0,0.3125,0.0
3809,12,1,2,1,1,4.0,1,2,4.0,호텔,친구형,3,서울,0.138,0.0966850828729282,0.0276243093922652,0.0,0.0,0.5524861878453037,0.1657458563535914,0.0193370165745856
3811,6,2,3,4,5,10.0,4,3,2.0,호텔,친구형,1,서울,0.256,0.1025641025641025,0.0,0.0,0.0,0.2564102564102564,0.3846153846153846,0.0
3814,11,2,1,4,7,10.0,2,2,3.0,호텔,가족형,1,서울,0.108,0.0172786177105831,0.0107991360691144,0.0,0.0,0.5399568034557243,0.3239740820734337,0.0
3815,11,2,3,1,6,4.0,3,3,3.0,호텔,친구형,3,서울,0.348,0.0871080139372822,0.0348432055749128,0.0,0.0,0.3205574912891984,0.1742160278745647,0.0348432055749128
3817,11,2,3,1,7,10.0,3,2,4.0,호텔,가족형,1,서울,0.161,0.0174496644295301,0.0,0.0,0.0,0.3382550335570469,0.483221476510067,0.0
3818,11,2,2,1,1,4.0,6,2,2.0,모텔/여관,가족형,2,서울,0.273,0.0909090909090909,0.0909090909090909,0.0,0.0,0.1818181818181818,0.2727272727272727,0.0909090909090909
3819,11,2,2,1,7,1.0,3,2,3.0,호텔,혼자형,1,서울,0.351,0.087719298245614,0.0350877192982456,0.0,0.0,0.3508771929824561,0.175438596491228,0.0
3823,6,1,4,2,7,2.0,6,3,2.0,모텔/여관,가족형,1,서울,0.288,0.0769230769230769,0.0576923076923076,0.0,0.0,0.1923076923076923,0.3846153846153846,0.0
3827,17,2,3,4,4,6.0,6,4,3.0,호텔,가족형,1,서울,0.068,0.0163132137030995,0.0271886895051658,0.0679717237629146,0.0,0.1359434475258292,0.6797172376291463,0.0048939641109298
3830,6,1,3,4,3,4.0,4,4,1.0,호텔,친구형,1,서울,0.417,0.0416666666666666,0.0,0.0,0.0,0.125,0.4166666666666667,0.0
3831,16,2,2,1,6,4.0,6,2,4.0,호텔,가족형,3,서울,0.104,0.0317919075144508,0.0086705202312138,0.1156069364161848,0.0,0.4335260115606937,0.2890173410404627,0.0173410404624277
3832,6,1,3,2,2,2.0,6,3,2.0,모텔/여관,친구형,1,서울,0.333,0.0,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0
3841,6,2,1,3,7,9.0,6,2,2.0,게스트하우스/호스텔,가족형,1,서울,0.357,0.0,0.0,0.0,0.0,0.1666666666666666,0.3571428571428571,0.119047619047619
3846,2,2,2,1,6,5.0,4,2,2.0,호텔,친구형,1,서울,0.126,0.0167926112510495,0.0067170445004198,0.0,0.0,0.5037783375314864,0.3358522250209905,0.0109151973131822
3847,11,2,3,2,6,10.0,6,2,4.0,호텔,친구형,2,서울,0.052,0.0546875000000001,0.0,0.0,0.0,0.1041666666666671,0.7812499999999992,0.0078124999999999
3852,18,1,2,2,7,4.0,5,3,3.0,호텔,혼자형,1,서울,0.251,0.0558035714285714,0.0167410714285714,0.0,0.0,0.5022321428571426,0.1674107142857143,0.0066964285714285
3853,18,2,2,1,1,9.0,3,2,4.0,콘도미니엄/리조트,가족형,1,서울,0.177,0.0309734513274336,0.0088495575221239,0.0,0.0,0.5309734513274336,0.2212389380530975,0.0309734513274336
3854,18,2,1,1,1,3.0,6,2,3.0,호텔,혼자형,1,서울,0.252,0.1383647798742139,0.0125786163522012,0.0,0.0,0.3144654088050311,0.2515723270440253,0.0314465408805031
3859,10,2,4,1,1,2.0,6,2,3.0,호텔,가족형,1,서울,0.244,0.0162337662337662,0.081168831168831,0.0,0.0,0.2435064935064936,0.4058441558441557,0.0097402597402597
3867,11,1,2,1,5,10.0,3,1,4.0,게스트하우스/호스텔,가족형,2,서울,0.193,0.0301204819277108,0.0843373493975903,0.0,0.0,0.1807228915662649,0.4819277108433736,0.0301204819277108
3869,18,2,2,1,6,4.0,6,1,4.0,호텔,가족형,4,서울,0.4,0.12,0.0,0.0,0.0,0.2800000000000004,0.1599999999999996,0.0399999999999999
3873,2,2,3,1,6,2.0,5,3,1.0,호텔,가족형,1,서울,0.111,0.0221606648199445,0.0055401662049861,0.1662049861495843,0.4099722991689751,0.0,0.2770083102493074,0.0083102493074792
3874,2,1,2,1,8,1.0,4,2,2.0,호텔,친구형,2,서울,0.302,0.1713709677419356,0.0,0.0,0.0,0.3024193548387092,0.2016129032258072,0.0221774193548386
3875,19,2,2,1,1,3.0,3,2,4.0,호텔,가족형,1,서울,0.202,0.0505050505050504,0.0101010101010101,0.0,0.0,0.4040404040404045,0.3030303030303029,0.0303030303030302
3876,97,1,3,1,1,4.0,5,3,3.0,호텔,혼자형,1,서울,0.526,0.0350877192982456,0.0175438596491227,0.0,0.0,0.3508771929824564,0.0701754385964909,0.0
3877,18,2,3,1,1,2.0,6,1,3.0,호텔,가족형,1,서울,0.185,0.074074074074074,0.1851851851851851,0.0,0.0,0.2314814814814821,0.2777777777777775,0.0462962962962962
3879,6,2,2,1,7,3.0,6,2,2.0,호텔,가족형,1,인천,0.385,0.0384615384615384,0.0,0.0,0.0,0.1923076923076923,0.3846153846153846,0.0
3881,6,2,3,4,5,2.0,4,3,1.0,모텔/여관,친구형,1,서울,0.323,0.032258064516129,0.0,0.0,0.0,0.2580645161290322,0.3225806451612903,0.064516129032258
3883,18,1,6,1,4,10.0,6,4,2.0,호텔,친구형,2,서울,0.204,0.1530612244897959,0.0,0.0,0.0,0.510204081632653,0.1020408163265309,0.0306122448979591
3888,6,2,3,3,7,6.0,6,3,2.0,게스트하우스/호스텔,친구형,1,서울,0.375,0.0,0.125,0.0,0.0,0.5,0.0,0.0
3889,3,2,2,2,7,2.0,5,2,3.0,호텔,친구형,1,서울,0.199,0.0371352785145888,0.0013262599469496,0.0,0.0,0.3580901856763925,0.3978779840848805,0.006631299734748
3891,3,2,4,1,7,1.0,6,2,3.0,호텔,가족형,1,서울,0.211,0.028169014084507,0.0211267605633802,0.0,0.4507042253521127,0.0,0.2816901408450704,0.0070422535211267
3897,3,2,5,4,7,8.0,2,4,2.0,호텔,친구형,1,서울,0.036,0.0149659863945577,0.001360544217687,0.0,0.0,0.0362811791383218,0.9070294784580504,0.0040816326530612
3898,16,2,2,1,6,2.0,6,2,4.0,기타,친구형,5,서울,0.125,0.09375,0.0,0.0,0.0,0.46875,0.3125,0.0
3902,3,2,2,2,4,2.0,6,2,3.0,호텔,가족형,2,서울,0.212,0.0530973451327433,0.0,0.0,0.0,0.2654867256637168,0.4424778761061946,0.0265486725663716
3905,6,1,5,1,7,3.0,4,2,2.0,모텔/여관,가족형,1,서울,0.37,0.074074074074074,0.0,0.0,0.0,0.1851851851851851,0.3703703703703703,0.0
3906,1,2,3,3,4,2.0,3,3,2.0,민박/펜션,혼자형,1,서울,0.172,0.0137772675086108,0.0,0.0,0.0,0.2296211251435129,0.5740528128587831,0.010332950631458
3911,16,1,2,1,1,1.0,4,2,4.0,호텔,친구형,2,서울,0.184,0.0921658986175116,0.0599078341013825,0.0,0.0,0.5069124423963134,0.1382488479262671,0.0184331797235022
3912,4,2,4,2,2,9.0,3,4,2.0,호텔,가족형,3,서울,0.211,0.2816901408450704,0.0,0.0,0.0,0.2112676056338026,0.2816901408450707,0.0140845070422536
3914,6,2,5,2,5,7.0,2,4,2.0,호텔,직장형,1,서울,0.206,0.0,0.0,0.4123711340206185,0.0,0.1546391752577319,0.2061855670103092,0.0206185567010309
3926,4,1,4,1,1,1.0,6,4,4.0,호텔,가족형,2,서울,0.258,0.0860215053763439,0.010752688172043,0.0,0.0,0.4301075268817209,0.21505376344086,0.0
3927,1,2,3,4,7,10.0,6,4,3.0,호텔,혼자형,1,서울,0.069,0.0415512465373961,0.0,0.0,0.0,0.0554016620498614,0.8310249307479225,0.002770083102493
3933,1,2,3,4,5,2.0,2,2,2.0,호텔,친구형,1,서울,0.204,0.0715746421267893,0.0,0.0,0.0,0.2044989775051122,0.5112474437627813,0.0081799591002044
3935,1,2,3,4,5,3.0,6,3,2.0,호텔,친구형,1,서울,0.221,0.0706090026478376,0.0,0.0,0.0,0.1765225066195938,0.5295675198587823,0.0026478375992939
3940,1,2,2,3,6,10.0,2,3,2.0,호텔,친구형,1,서울,0.132,0.033112582781457,0.0,0.0,0.0,0.1655629139072851,0.6622516556291388,0.0066225165562913
3942,4,2,2,1,1,9.0,6,2,4.0,호텔,가족형,1,서울,0.667,0.0666666666666666,0.0666666666666666,0.0,0.0,0.1333333333333334,0.0666666666666666,0.0
3943,4,2,1,1,1,10.0,5,2,4.0,호텔,가족형,1,서울,0.047,0.0065543071161048,0.0056179775280899,0.0,0.9363295880149812,0.0,0.0046816479400749,0.0
3945,5,2,3,2,6,4.0,6,2,4.0,호텔,친구형,1,서울,0.169,0.0450704225352113,0.0,0.0,0.0,0.2112676056338031,0.5633802816901402,0.0112676056338028
3946,5,2,5,1,6,1.0,4,3,2.0,호텔,친구형,1,서울,0.273,0.1709051134809952,0.0,0.0,0.0,0.1367240907847964,0.4101722723543886,0.0087503418102269
3949,5,2,4,4,4,2.0,2,4,1.0,호텔,혼자형,1,서울,0.036,0.0180831826401446,0.0,0.0,0.0,0.0361663652802893,0.9041591320072332,0.0054249547920433
3951,14,1,4,1,1,2.0,6,2,2.0,호텔,가족형,1,서울,0.175,0.0262582056892779,0.0,0.0,0.6564551422319475,0.0,0.1312910284463894,0.0109409190371991
3952,5,2,2,1,1,2.0,5,1,3.0,호텔,가족형,1,서울,0.337,0.0337078651685393,0.0337078651685393,0.0,0.0,0.1235955056179774,0.4494382022471907,0.0224719101123596
3953,14,2,3,3,2,4.0,3,4,2.0,호텔,혼자형,1,서울,0.035,0.0269573370839193,0.0,0.0,0.0,0.0002344116268166,0.9376465072667606,0.0
3954,2,2,5,2,8,2.0,2,2,1.0,호텔,가족형,1,서울,0.119,0.0238095238095238,0.0,0.0,0.5952380952380951,0.0,0.238095238095238,0.0238095238095238
3955,5,1,6,3,2,9.0,6,2,3.0,호텔,가족형,2,서울,0.203,0.0878378378378379,0.0,0.0202702702702702,0.0,0.3378378378378378,0.3378378378378378,0.0135135135135135
3956,15,2,3,1,1,10.0,3,3,3.0,호텔,혼자형,1,서울,0.081,0.0539083557951482,0.0026954177897574,0.2156334231805931,0.0,0.3773584905660377,0.2695417789757413,0.0
3963,14,2,2,1,4,4.0,6,4,1.0,호텔,가족형,2,서울,0.211,0.1138211382113823,0.024390243902439,0.0,0.0,0.1626016260162603,0.4878048780487801,0.0
3966,14,2,3,1,1,10.0,3,2,3.0,호텔,가족형,1,서울,0.326,0.069767441860465,0.0,0.0,0.0,0.4651162790697675,0.1395348837209303,0.0
3968,20,2,4,1,3,2.0,6,3,2.0,호텔,가족형,1,서울,0.312,0.0625,0.0,0.0,0.0,0.375,0.25,0.0
3970,5,2,4,1,6,3.0,6,2,1.0,민박/펜션,혼자형,3,서울,0.21,0.0146750524109014,0.1467505241090147,0.0,0.0,0.3773584905660379,0.2096436058700208,0.0419287211740041
3971,5,2,5,4,2,1.0,1,2,2.0,호텔,친구형,1,서울,0.266,0.0177619893428063,0.0,0.0,0.0,0.2664298401420957,0.4440497335701602,0.0053285968028419
3972,15,1,3,1,7,6.0,6,4,3.0,호텔,가족형,2,제주,0.219,0.098576122672508,0.0219058050383351,0.0,0.0,0.438116100766704,0.2190580503833513,0.0032858707557502
3975,5,2,2,2,6,5.0,2,2,2.0,호텔,친구형,1,서울,0.328,0.0655737704918033,0.0081967213114754,0.0,0.0,0.4098360655737706,0.1639344262295082,0.0245901639344262
3976,14,1,4,1,4,2.0,5,2,3.0,기타,가족형,1,서울,0.234,0.0163934426229508,0.0,0.0468384074941451,0.0,0.585480093676815,0.1170960187353629,0.0
3977,4,2,5,1,1,6.0,6,1,4.0,기타,가족형,2,경기,0.622,0.0,0.0,0.0888888888888888,0.0,0.0666666666666665,0.2222222222222219,0.0
3979,14,1,2,1,1,4.0,6,4,1.0,호텔,가족형,1,서울,0.104,0.3626943005181348,0.0155440414507772,0.0,0.0,0.5181347150259065,0.0,0.0
3980,1,2,2,1,6,1.0,1,2,3.0,친척 또는 친구 집,친구형,1,서울,0.377,0.0377358490566037,0.0,0.0,0.0,0.0,0.5660377358490566,0.0188679245283018
3981,6,2,2,2,7,10.0,3,2,4.0,친척 또는 친구 집,혼자형,2,인천,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
3982,5,2,3,1,6,5.0,3,2,2.0,호텔,가족형,2,서울,0.036,0.0,0.0,0.0,0.6537356321839083,0.0,0.2873563218390803,0.0229885057471264
3983,6,1,3,2,7,10.0,6,2,3.0,친척 또는 친구 집,가족형,1,서울,0.536,0.1071428571428571,0.0,0.0,0.0,0.0,0.3571428571428571,0.0
3988,8,2,6,1,1,2.0,6,3,3.0,호텔,가족형,2,서울,0.167,0.0,0.0,0.0,0.6666666666666666,0.0,0.1666666666666666,0.0
3989,8,2,2,1,1,5.0,2,3,2.0,호텔,가족형,2,서울,0.19,0.0,0.0,0.0,0.7619047619047624,0.0,0.0476190476190475,0.0
3990,14,2,2,1,7,4.0,5,2,3.0,호텔,가족형,2,서울,0.183,0.091324200913242,0.0182648401826484,0.0,0.0,0.639269406392694,0.0456621004566209,0.0228310502283105
3992,14,2,3,2,7,5.0,6,2,4.0,기타,가족형,2,부산,0.263,0.0657894736842105,0.0131578947368421,0.0,0.0,0.5263157894736842,0.131578947368421,0.0
3994,6,2,5,3,6,3.0,6,2,4.0,호텔,가족형,1,서울,0.341,0.034090909090909,0.0,0.0,0.0,0.2840909090909091,0.3409090909090909,0.0
3996,14,1,3,4,2,4.0,6,2,3.0,호텔,가족형,1,서울,0.234,0.0117096018735362,0.0,0.0515222482435597,0.0,0.4683840749414519,0.2341920374707259,0.0
3998,14,1,2,1,5,10.0,2,4,1.0,호텔,가족형,1,서울,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0
3999,10,1,4,1,1,10.0,6,2,3.0,호텔,가족형,2,서울,0.243,0.0663716814159291,0.1106194690265486,0.0,0.0,0.5088495575221246,0.0663716814159292,0.0044247787610619
4001,10,2,4,3,2,1.0,6,2,3.0,호텔,가족형,2,서울,0.189,0.188679245283019,0.0,0.0,0.0,0.3773584905660377,0.2264150943396224,0.0188679245283018
4002,10,1,5,1,1,10.0,5,2,3.0,호텔,가족형,2,서울,0.095,0.0,0.0,0.0,0.619047619047619,0.0,0.2857142857142858,0.0
4005,4,2,3,1,6,1.0,3,3,3.0,친척 또는 친구 집,혼자형,1,서울,0.13,0.0432900432900433,0.0173160173160173,0.1298701298701298,0.0,0.2164502164502161,0.4329004329004331,0.0303030303030303
4006,4,2,2,1,1,10.0,6,4,3.0,기타,단체형,1,서울,0.466,0.0874635568513118,0.0291545189504373,0.0,0.0,0.291545189504373,0.1166180758017493,0.0087463556851311
4007,2,2,5,4,7,10.0,4,2,1.0,호텔,친구형,1,서울,0.111,0.0147710487444608,0.0,0.1477104874446082,0.3471196454948301,0.0,0.3692762186115216,0.0103397341211225
4008,6,2,4,4,6,2.0,6,4,2.0,호텔,혼자형,1,서울,0.235,0.0,0.0,0.3529411764705882,0.0,0.1764705882352941,0.2352941176470588,0.0
4009,1,1,3,2,2,1.0,6,2,2.0,호텔,혼자형,2,서울,0.347,0.0656370656370655,0.0,0.0,0.0,0.2895752895752895,0.2895752895752895,0.0077220077220077
4011,10,1,3,1,5,3.0,3,2,3.0,호텔,가족형,2,서울,0.219,0.008762322015334,0.0,0.0,0.0,0.3285870755750274,0.4381161007667031,0.0054764512595837
4012,10,2,2,2,4,4.0,6,3,3.0,호텔,가족형,2,서울,0.42,0.0990990990990991,0.0,0.0,0.0,0.1801801801801804,0.3003003003003002,0.0
4013,10,2,3,2,2,10.0,6,3,3.0,호텔,가족형,2,서울,0.144,0.0431654676258992,0.0863309352517985,0.0,0.0,0.4316546762589927,0.2877697841726618,0.0071942446043165
4015,2,2,2,4,5,5.0,6,2,1.0,호텔,친구형,1,서울,0.209,0.0313152400835072,0.010438413361169,0.3131524008350722,0.0,0.2087682672233824,0.2087682672233824,0.0187891440501043
4017,6,2,5,2,5,3.0,5,2,3.0,게스트하우스/호스텔,가족형,1,서울,0.435,0.0,0.0,0.0,0.0,0.3260869565217391,0.217391304347826,0.0217391304347826
4026,1,1,3,3,6,1.0,6,2,2.0,친척 또는 친구 집,혼자형,1,서울,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.9615384615384616,0.0
4027,15,2,5,3,2,,3,2,4.0,호텔,가족형,3,제주,0.14,0.1775700934579442,0.0747663551401868,0.0467289719626167,0.0,0.4672897196261675,0.0934579439252338,0.0
4028,1,2,3,4,7,2.0,1,2,2.0,호텔,친구형,1,서울,0.139,0.0167364016736401,0.0,0.0,0.0,0.1394700139470012,0.6973500697350072,0.00697350069735
4030,9,2,3,1,1,5.0,3,2,3.0,호텔,가족형,3,서울,0.173,0.0864902266043937,0.0403621057487171,0.0,0.0,0.4036210574871711,0.2883007553479786,0.0082454016029522
4034,1,2,3,4,5,10.0,6,2,3.0,호텔,친구형,1,서울,0.152,0.0331125827814569,0.0,0.0,0.0,0.1324503311258279,0.6622516556291388,0.0198675496688741
4036,15,2,4,1,1,9.0,6,2,4.0,호텔,가족형,3,서울,0.163,0.1626016260162602,0.008130081300813,0.0,0.0,0.3252032520325204,0.3252032520325204,0.016260162601626
4038,4,2,2,1,1,1.0,6,2,3.0,호텔,친구형,1,서울,0.213,0.0744680851063829,0.0531914893617021,0.0,0.0,0.4255319148936176,0.2127659574468082,0.0212765957446808
4039,15,2,3,1,7,2.0,6,2,4.0,호텔,가족형,3,서울,0.177,0.1413427561837456,0.0706713780918728,0.0,0.0,0.4240282685512367,0.1766784452296819,0.0106007067137809
4043,1,2,4,4,3,6.0,6,2,3.0,민박/펜션,친구형,1,서울,0.164,0.0983606557377049,0.0,0.0,0.0,0.1639344262295081,0.4918032786885246,0.081967213114754
4044,15,2,3,1,1,4.0,1,2,4.0,게스트하우스/호스텔,가족형,2,서울,0.189,0.0377358490566037,0.0188679245283018,0.0,0.0,0.1886792452830188,0.5660377358490566,0.0
4047,10,2,4,3,2,2.0,5,2,3.0,호텔,가족형,2,부산,0.173,0.0560983296564765,0.0551528521903561,0.0,0.0,0.3939489442168298,0.3151591553734634,0.0063031831074692
4048,15,1,5,1,1,4.0,5,2,3.0,호텔,가족형,1,서울,0.089,0.024822695035461,0.0,0.0,0.0,0.354609929078014,0.5319148936170215,0.0
4049,1,1,5,1,7,2.0,4,2,2.0,호텔,가족형,1,서울,0.168,0.0307434320849636,0.0022358859698155,0.0,0.0,0.223588596981554,0.5589714924538849,0.0167691447736165
4052,1,2,6,1,6,2.0,3,2,2.0,호텔,혼자형,1,서울,0.29,0.0579710144927536,0.0,0.072463768115942,0.0,0.2898550724637681,0.2898550724637681,0.0
4053,9,2,3,1,4,3.0,6,2,2.0,호텔,직장형,2,서울,0.0,0.0,0.0,0.0,0.8039215686274511,0.0,0.1960784313725488,0.0
4054,9,2,2,1,1,10.0,3,2,3.0,호텔,가족형,2,서울,0.273,0.1639344262295081,0.0546448087431694,0.0,0.0,0.3169398907103824,0.1639344262295084,0.0273224043715847
4056,10,2,3,2,2,1.0,3,1,3.0,기타,단체형,1,서울,0.233,0.1395348837209304,0.0465116279069768,0.0,0.0,0.2325581395348841,0.3488372093023245,0.0
4057,14,2,4,1,1,10.0,3,4,4.0,콘도미니엄/리조트,복합형(가족+친구),3,서울,0.173,0.0547550432276657,0.0,0.0288184438040346,0.0,0.1440922190201727,0.576368876080692,0.0230547550432276
4058,10,1,4,2,2,2.0,5,2,3.0,호텔,가족형,2,서울,0.119,0.0068259385665528,0.0,0.0,0.0,0.5119453924914673,0.3412969283276453,0.0204778156996587
4060,10,1,3,4,2,1.0,2,1,3.0,게스트하우스/호스텔,단체형,1,서울,0.224,0.0298507462686567,0.0,0.0,0.0,0.4477611940298499,0.2985074626865673,0.0
4061,9,2,2,3,2,5.0,6,2,3.0,게스트하우스/호스텔,가족형,1,서울,0.26,0.0649350649350649,0.038961038961039,0.0,0.0,0.3636363636363627,0.2597402597402601,0.0129870129870129
4062,15,2,2,1,6,5.0,6,2,4.0,게스트하우스/호스텔,친구형,2,서울,0.262,0.1639344262295078,0.0983606557377049,0.0,0.0,0.163934426229508,0.2868852459016394,0.0245901639344262
4063,14,1,5,1,1,4.0,2,2,3.0,호텔,가족형,2,서울,0.203,0.2229729729729729,0.0,0.0,0.0,0.5405405405405406,0.0337837837837837,0.0
4065,5,1,5,3,5,1.0,6,4,3.0,호텔,단체형,1,서울,0.11,0.0073529411764705,0.0,0.0,0.1470588235294117,0.0,0.7352941176470589,0.0
4066,2,2,2,1,6,5.0,6,2,2.0,호텔,친구형,1,서울,0.225,0.0112485939257592,0.0149981252343456,0.1499812523434568,0.3599550056242976,0.0,0.2249718785151853,0.0138732658417698
4067,5,2,5,4,7,11.0,1,2,3.0,호텔,단체형,1,서울,0.136,0.0497737556561085,0.0,0.0,0.3619909502262446,0.0,0.4524886877828055,0.0
4068,2,2,4,4,8,10.0,4,2,1.0,호텔,친구형,1,서울,0.066,0.008285004142502,0.0,0.4142502071251039,0.0,0.1657000828500413,0.3314001657000826,0.0140845070422534
4069,5,2,3,1,1,2.0,1,2,3.0,호텔,단체형,1,서울,0.14,0.0186915887850467,0.0,0.0,0.3738317757009345,0.0,0.4672897196261682,0.0
4070,5,2,5,3,6,2.0,1,2,3.0,호텔,단체형,1,서울,0.1,0.02,0.0,0.0,0.38,0.0,0.5,0.0
4071,97,1,4,1,1,1.0,2,2,4.0,기타,가족형,1,서울,0.156,0.0390625,0.078125,0.0,0.078125,0.390625,0.2343749999999999,0.0234375
4072,2,1,2,1,8,2.0,6,2,1.0,호텔,친구형,1,서울,0.144,0.0215827338129496,0.0,0.0,0.0,0.0863309352517985,0.7194244604316548,0.0287769784172661
4073,15,2,5,1,7,4.0,3,3,2.0,호텔,직장형,2,서울,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4077,4,1,3,1,1,2.0,3,2,4.0,호텔,가족형,2,서울,0.325,0.0585365853658536,0.0178861788617886,0.0,0.0,0.4878048780487807,0.0975609756097558,0.0130081300813008
4081,12,1,3,4,8,10.0,3,4,2.0,호텔,가족형,1,서울,0.079,0.0473186119873817,0.0,0.0788643533123028,0.0,0.2365930599369085,0.5520504731861198,0.0063091482649842
4082,14,1,4,1,4,5.0,6,4,2.0,호텔,가족형,1,서울,0.433,0.0769230769230769,0.048076923076923,0.0,0.0,0.3846153846153846,0.0,0.0576923076923076
4086,8,2,2,1,1,10.0,6,2,3.0,호텔,친구형,2,서울,0.345,0.0948275862068965,0.0517241379310344,0.0,0.0,0.1379310344827586,0.3448275862068965,0.0258620689655172
4087,14,2,5,1,1,4.0,3,3,3.0,호텔,가족형,2,서울,0.365,0.0416666666666666,0.0208333333333333,0.0,0.0,0.4166666666666667,0.1388888888888886,0.0173611111111111
4089,14,1,3,1,7,1.0,1,3,3.0,호텔,친구형,2,서울,0.33,0.1415094339622641,0.0141509433962264,0.0,0.0,0.3773584905660377,0.0943396226415094,0.0424528301886792
4091,8,2,6,2,2,1.0,2,1,3.0,호텔,가족형,1,서울,0.273,0.1818181818181816,0.0,0.0,0.0,0.363636363636364,0.1818181818181816,0.0
4093,5,2,5,3,7,5.0,2,3,2.0,호텔,친구형,1,서울,0.185,0.1129032258064516,0.0161290322580645,0.1209677419354838,0.0,0.1612903225806451,0.4032258064516129,0.0
