아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,총 국내 지출경비,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
110,1,1,3,1,4,7.0,8.0,6.0,218.088,5.0,민박/펜션,가족형,1,서울,813.7136962314428,0.1700391089950693,0.10202346539704132,0.0,0.0,0.0001700391089950693,0.20404693079408215,0.5101173269852066,0.013603128719605518
111,97,1,3,1,1,1.0,4.0,9.0,678.714,5.0,호텔,친구형,1,서울,1204.8760303128033,0.22706630336058126,0.09082652134423254,0.018165304268846504,0.0,0.0009082652134423255,0.2724795640326976,0.36330608537693015,0.02724795640326976
112,97,1,2,1,1,1.0,1.0,4.0,341.666666666667,6.0,호텔,친구형,1,서울,753.7937743190655,0.3306878306878304,0.07936507936507939,0.02645502645502643,0.0,0.0013227513227513242,0.3968253968253971,0.1322751322751324,0.03306878306878307
115,17,2,1,1,1,8.0,12.0,6.0,82.3076923076923,13.0,호텔,친구형,2,서울,650.0000392523323,0.2461538082840291,0.030769226035503715,0.010769229112426292,0.0,1.538461301775086e-07,0.38461532544379606,0.30769226035503716,0.019999996923077346
116,5,1,4,1,1,5.0,2.0,3.0,179.06,5.0,호텔,가족형,2,서울,895.3,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.28571428571428575,0.0
118,1,2,2,1,1,7.0,1.0,3.0,175.748571428571,7.0,콘도미니엄/리조트,친구형,1,서울,881.13670828604,0.5546751188589535,0.09508716323296347,0.0,0.0,0.0015847860538827283,0.1901743264659274,0.15847860538827283,0.0
119,1,2,1,1,1,7.0,9.0,9.0,101.355,5.0,민박/펜션,친구형,1,서울,339.0612658576945,0.247320692497939,0.1236603462489695,0.2885408079142622,0.0,0.0004122011541632317,0.20610057708161583,0.08244023083264633,0.05152514427040396
121,17,2,3,1,4,5.0,1.0,4.0,231.25,6.0,호텔,가족형,1,서울,1012.5000202702681,0.22222220576131785,0.07407406858710615,0.0,0.0,7.407406858706051e-08,0.18518517146776486,0.5185184801097426,0.0
122,3,2,2,1,1,7.0,1.0,7.0,166.883333333333,6.0,게스트하우스/호스텔,친구형,1,서울,484.666655917446,0.5996002664890072,0.06662225183211186,0.0,0.0,0.0006662225183211187,0.19986675549633576,0.13324450366422394,0.0
123,5,2,2,1,1,1.0,16.0,2.0,168.54435,6.0,호텔,친구형,2,서울,496.6042713257662,0.2727268595047581,0.03030298438941761,0.0,0.0,1.5151492194707998e-06,0.3787873048677201,0.3030298438941761,0.015151492194708762
125,2,2,2,1,2,2.0,2.0,4.0,159.75,4.0,호텔,혼자형,1,서울,427.1791361421422,0.1983438290276194,0.10743624072329383,0.0,0.0,1.652865241896828e-05,0.33057304837936563,0.33057304837936563,0.03305730483793656
128,1,2,2,1,1,1.0,13.0,6.0,447.36,5.0,호텔,친구형,1,서울,2027.492451653145,0.08258774948382656,0.013764624913971136,0.0,0.6882312456985543,0.0006882312456985544,0.13764624913971138,0.06882312456985543,0.008258774948382692
132,6,2,2,1,3,2.0,1.0,5.0,186.15,16.0,친척 또는 친구 집,혼자형,1,제주,2215.4600985221628,0.3973509933774845,0.046357615894039805,0.0,0.0,0.0,0.0,0.5562913907284758,0.0
135,1,2,5,1,2,2.0,2.0,3.0,186.4,9.0,호텔,친구형,2,경기,1464.3457627118648,0.29126213592232997,0.03398058252427183,0.0,0.0,0.0,0.1553398058252427,0.48543689320388367,0.033980582524271837
136,5,2,3,1,4,9.0,1.0,5.0,299.286,5.0,호텔,가족형,2,서울,1183.075,0.2702702702702703,0.12432432432432433,0.0,0.0,0.06486486486486485,0.21621621621621623,0.3243243243243243,0.0
137,11,1,2,1,1,1.0,4.0,10.0,115.0,11.0,모텔/여관,가족형,1,서울,765.0,0.39215686274509803,0.0718954248366013,0.013071895424836602,0.0,0.0,0.32679738562091504,0.19607843137254902,0.0
138,5,2,2,1,1,8.0,13.0,2.0,335.52,5.0,호텔,혼자형,1,서울,1551.4646616541368,0.0,0.09756097560975627,0.08130081300813022,0.1626016260162598,0.0,0.3252032520325203,0.3252032520325203,0.008130081300813023
142,1,1,2,1,1,1.0,13.0,2.0,192.142857142857,7.0,호텔,단체형,1,서울,1145.0,0.29694323144104806,0.043668122270742356,0.03056768558951965,0.0,0.0,0.4366812227074236,0.17467248908296942,0.017467248908296942
