아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위
348,3,1,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),193.8,5.0,도시 소비형,경험 및 관계
353,2,2,안전 및 퀄리티,친구형,2,서울 심층형,285.915384615385,13.0,경험형,경험 및 관계
355,2,1,여행 편의성,혼자형,3,서울 심층형,168.95,12.0,"역사, 전통, 자연",경험 및 관계
356,2,1,안전 및 퀄리티,가족형,1,서울 심층형,325.0,8.0,경험형,K-컬처형
357,3,1,안전 및 퀄리티,친구형,1,서울 심층형,231.702857142857,7.0,"역사, 전통, 자연",K-컬처형
358,2,2,여행 편의성,친구형,1,서울 심층형,207.24,8.0,"역사, 전통, 자연",K-컬처형
361,3,1,여행 편의성,가족형,1,서울 심층형,266.285714285714,7.0,경험형,K-컬처형
363,4,1,여행 편의성,복합형(가족+친구),1,서울 심층형,425.503703703704,9.0,도시 소비형,K-컬처형
364,2,1,안전 및 퀄리티,친구형,1,서울 단기형,22.0,5.0,도시 소비형,K-컬처형
365,2,2,여행 편의성,혼자형,3,서울 심층형,154.322222222222,9.0,경험형,K-컬처형
368,2,4,여행 편의성,혼자형,1,서울 단기형,681.6,1.0,특수 목적,K-컬처형
369,3,1,안전 및 퀄리티,가족형,1,서울 심층형,380.0,10.0,특수 목적,경험 및 관계
378,2,1,가성비,친구형,1,서울 단기형,220.1,3.0,도시 소비형,경험 및 관계
390,4,2,안전 및 퀄리티,가족형,2,서울 단기형,400.52,5.0,도시 소비형,K-컬처형
392,4,2,가성비,가족형,3,수도권/지방형(탐험가형),245.48,5.0,특수 목적,경험 및 관계
401,4,3,안전 및 퀄리티,가족형,3,서울 단기형,523.26,5.0,특수 목적,경험 및 관계
405,4,2,여행 편의성,복합형(가족+친구),3,서울 단기형,277.78,5.0,도시 소비형,K-컬처형
406,5,1,여행 편의성,가족형,2,수도권/지방형(탐험가형),212.858333333333,9.0,특수 목적,K-컬처형
407,3,2,여행 편의성,가족형,2,서울 단기형,323.0,5.0,"역사, 전통, 자연",K-컬처형
410,2,1,안전 및 퀄리티,가족형,2,서울 단기형,277.78,5.0,도시 소비형,K-컬처형
420,2,1,여행 편의성,혼자형,1,서울 심층형,201.875,8.0,특수 목적,K-컬처형
425,2,1,여행 편의성,가족형,1,서울 단기형,391.44,5.0,도시 소비형,경험 및 관계
426,2,4,여행 편의성,혼자형,2,서울 심층형,85.5234375,16.0,특수 목적,경험 및 관계
427,2,1,안전 및 퀄리티,친구형,1,서울 단기형,150.984,5.0,도시 소비형,K-컬처형
428,2,2,여행 편의성,친구형,2,서울 심층형,128.15,6.0,경험형,가성비 및 접근성
429,3,1,안전 및 퀄리티,친구형,4,서울 심층형,193.7619,10.0,경험형,경험 및 관계
432,2,3,여행 편의성,친구형,1,수도권/지방형(탐험가형),195.25,4.0,"역사, 전통, 자연",경험 및 관계
433,4,2,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),242.25,4.0,도시 소비형,가성비 및 접근성
434,2,1,여행 편의성,친구형,1,서울 단기형,212.496,5.0,도시 소비형,경험 및 관계
436,3,2,여행 편의성,단체형,2,수도권/지방형(탐험가형),180.88,5.0,경험형,경험 및 관계
437,2,4,여행 편의성,가족형,4,서울 심층형,137.096774193548,31.0,"역사, 전통, 자연",경험 및 관계
440,3,1,여행 편의성,직장형,2,서울 심층형,138.428571428571,7.0,도시 소비형,경험 및 관계
444,2,1,여행 편의성,친구형,1,서울 심층형,355.277777777778,9.0,도시 소비형,K-컬처형
446,3,1,여행 편의성,혼자형,1,서울 단기형,355.092,5.0,경험형,K-컬처형
456,2,1,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),189.278,5.0,특수 목적,가성비 및 접근성
458,2,2,안전 및 퀄리티,혼자형,2,서울 심층형,185.734285714286,7.0,특수 목적,K-컬처형
460,5,1,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,"역사, 전통, 자연",가성비 및 접근성
462,2,1,여행 편의성,혼자형,2,서울 심층형,136.8375,16.0,경험형,경험 및 관계
463,4,2,여행 편의성,단체형,2,수도권/지방형(탐험가형),225.2925,4.0,도시 소비형,가성비 및 접근성
464,3,1,가성비,친구형,1,서울 단기형,265.62,5.0,도시 소비형,경험 및 관계
465,2,1,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),174.42,5.0,"역사, 전통, 자연",경험 및 관계
467,3,1,안전 및 퀄리티,친구형,2,서울 심층형,180.88,6.0,도시 소비형,가성비 및 접근성
468,5,1,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,도시 소비형,가성비 및 접근성
469,4,1,여행 편의성,단체형,2,수도권/지방형(탐험가형),182.172,5.0,"역사, 전통, 자연",가성비 및 접근성
470,4,2,여행 편의성,친구형,1,수도권/지방형(탐험가형),258.4,5.0,도시 소비형,경험 및 관계
471,5,4,가성비,가족형,1,서울 단기형,260.333333333333,3.0,도시 소비형,경험 및 관계
472,3,1,가성비,가족형,2,서울 심층형,123.816666666667,6.0,도시 소비형,가성비 및 접근성
473,5,4,여행 편의성,가족형,1,서울 단기형,265.066666666667,3.0,특수 목적,K-컬처형
475,5,1,여행 편의성,가족형,4,서울 심층형,292.846666666667,15.0,"역사, 전통, 자연",경험 및 관계
476,2,2,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),255.8,5.0,"역사, 전통, 자연",경험 및 관계
478,2,1,여행 편의성,친구형,2,서울 심층형,341.066666666667,6.0,경험형,K-컬처형
479,2,4,여행 편의성,가족형,1,서울 심층형,284.693333333333,9.0,특수 목적,경험 및 관계
482,6,4,여행 편의성,가족형,2,서울 심층형,119.90625,8.0,"역사, 전통, 자연",K-컬처형
483,5,3,여행 편의성,친구형,1,서울 심층형,525.6,6.0,경험형,경험 및 관계
484,2,4,여행 편의성,친구형,1,서울 단기형,218.325,4.0,도시 소비형,K-컬처형
486,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),230.75,4.0,"역사, 전통, 자연",가성비 및 접근성
488,5,4,안전 및 퀄리티,가족형,2,서울 심층형,258.377142857143,7.0,도시 소비형,K-컬처형
490,4,2,여행 편의성,가족형,2,서울 심층형,212.916666666667,8.0,"역사, 전통, 자연",K-컬처형
