아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위
9046,2,1,안전 및 퀄리티,혼자형,1,서울 심층형,305.256,15.0,"역사, 전통, 자연",K-컬처형
9047,2,1,안전 및 퀄리티,친구형,3,서울 심층형,194.678571428571,28.0,"역사, 전통, 자연",K-컬처형
9049,2,1,안전 및 퀄리티,친구형,2,서울 심층형,157.814709090909,11.0,경험형,경험 및 관계
9053,6,4,여행 편의성,가족형,1,서울 단기형,261.333333333333,3.0,도시 소비형,경험 및 관계
9054,2,1,안전 및 퀄리티,가족형,1,서울 심층형,90.85,15.0,경험형,K-컬처형
9056,5,2,가성비,가족형,2,서울 심층형,220.714285714286,7.0,도시 소비형,K-컬처형
9057,5,2,여행 편의성,가족형,1,서울 단기형,345.762,5.0,"역사, 전통, 자연",경험 및 관계
9058,2,1,안전 및 퀄리티,친구형,1,서울 심층형,152.871625,8.0,도시 소비형,가성비 및 접근성
9060,5,2,여행 편의성,가족형,2,서울 심층형,63.4090909090909,11.0,"역사, 전통, 자연",K-컬처형
9061,4,1,안전 및 퀄리티,가족형,1,서울 단기형,266.0,4.0,특수 목적,경험 및 관계
9062,4,4,여행 편의성,혼자형,1,서울 단기형,277.10928,5.0,경험형,경험 및 관계
9063,2,1,여행 편의성,친구형,2,서울 심층형,198.218181818182,11.0,"역사, 전통, 자연",K-컬처형
9065,5,2,여행 편의성,가족형,1,서울 심층형,430.392857142857,7.0,경험형,K-컬처형
9066,1,2,여행 편의성,가족형,2,서울 단기형,262.65,5.0,특수 목적,경험 및 관계
9070,3,1,안전 및 퀄리티,가족형,1,서울 심층형,193.877551020408,7.0,"역사, 전통, 자연",경험 및 관계
9071,3,3,여행 편의성,가족형,1,서울 심층형,233.333333333333,6.0,경험형,경험 및 관계
9072,2,1,여행 편의성,친구형,1,서울 심층형,275.0625,8.0,특수 목적,K-컬처형
9073,5,2,여행 편의성,친구형,2,서울 심층형,563.066666666667,9.0,도시 소비형,K-컬처형
9074,3,1,안전 및 퀄리티,가족형,3,서울 단기형,618.0,4.0,"역사, 전통, 자연",K-컬처형
9075,3,3,여행 편의성,친구형,1,서울 심층형,360.5,6.0,도시 소비형,K-컬처형
9077,3,4,가성비,혼자형,1,서울 심층형,213.333333333333,6.0,도시 소비형,K-컬처형
9078,4,1,여행 편의성,가족형,2,서울 심층형,213.270375,8.0,"역사, 전통, 자연",경험 및 관계
9079,3,1,여행 편의성,가족형,2,서울 심층형,207.138,6.0,"역사, 전통, 자연",경험 및 관계
9080,2,2,안전 및 퀄리티,가족형,1,서울 심층형,213.166666666667,6.0,"역사, 전통, 자연",경험 및 관계
9083,3,4,여행 편의성,혼자형,1,서울 심층형,500.0,8.0,도시 소비형,경험 및 관계
9084,5,1,안전 및 퀄리티,가족형,1,서울 심층형,428.571428571428,7.0,"역사, 전통, 자연",경험 및 관계
9085,2,1,안전 및 퀄리티,친구형,1,서울 심층형,180.0,10.0,도시 소비형,경험 및 관계
9086,3,2,가성비,친구형,3,서울 심층형,368.181818181818,11.0,"역사, 전통, 자연",가성비 및 접근성
9090,4,1,여행 편의성,가족형,2,서울 단기형,199.64,5.0,도시 소비형,가성비 및 접근성
9091,3,1,안전 및 퀄리티,가족형,3,서울 단기형,275.28,5.0,경험형,K-컬처형
9092,2,1,여행 편의성,혼자형,3,서울 심층형,129.46125,16.0,"역사, 전통, 자연",경험 및 관계
9093,5,1,가성비,가족형,1,서울 단기형,519.5,4.0,"역사, 전통, 자연",경험 및 관계
9094,2,2,가성비,가족형,1,서울 심층형,308.209220666667,9.0,경험형,가성비 및 접근성
9095,5,4,여행 편의성,직장형,1,서울 단기형,729.6,2.0,도시 소비형,경험 및 관계
9098,2,1,안전 및 퀄리티,가족형,1,서울 단기형,266.848,5.0,특수 목적,K-컬처형
9099,1,2,안전 및 퀄리티,가족형,1,서울 단기형,160.0,4.0,도시 소비형,가성비 및 접근성
9100,4,1,안전 및 퀄리티,가족형,1,서울 단기형,415.573333333333,3.0,도시 소비형,K-컬처형
9101,6,1,안전 및 퀄리티,가족형,1,서울 단기형,227.2,4.0,도시 소비형,K-컬처형
9102,2,1,여행 편의성,단체형,1,서울 심층형,416.666666666667,8.0,특수 목적,K-컬처형
9103,3,1,여행 편의성,가족형,1,서울 단기형,783.333333333333,2.0,도시 소비형,경험 및 관계
9104,3,1,안전 및 퀄리티,친구형,2,서울 심층형,315.375,8.0,도시 소비형,K-컬처형
9105,3,1,가성비,가족형,4,서울 단기형,203.58,5.0,"역사, 전통, 자연",가성비 및 접근성
9106,5,1,안전 및 퀄리티,복합형(가족+친구),1,서울 단기형,234.666666666667,3.0,"역사, 전통, 자연",K-컬처형
9108,5,1,여행 편의성,가족형,1,서울 단기형,288.0,3.0,도시 소비형,K-컬처형
9109,3,1,여행 편의성,가족형,1,서울 심층형,750.0,8.0,"역사, 전통, 자연",K-컬처형
9110,3,1,안전 및 퀄리티,단체형,3,서울 심층형,909.090909090909,11.0,"역사, 전통, 자연",K-컬처형
9111,1,1,안전 및 퀄리티,단체형,4,서울 단기형,185.5152,5.0,경험형,K-컬처형
9112,5,2,가성비,가족형,1,서울 단기형,274.24,3.0,도시 소비형,K-컬처형
9113,2,2,여행 편의성,가족형,1,서울 단기형,138.666666666667,3.0,도시 소비형,경험 및 관계
9114,3,1,여행 편의성,가족형,4,수도권/지방형(탐험가형),248.603333333333,9.0,특수 목적,K-컬처형
9117,5,4,여행 편의성,가족형,1,서울 단기형,260.8125,4.0,경험형,가성비 및 접근성
9118,3,1,가성비,가족형,1,서울 심층형,390.0,6.0,도시 소비형,가성비 및 접근성
9120,2,1,안전 및 퀄리티,가족형,2,서울 심층형,212.5,8.0,도시 소비형,K-컬처형
9121,2,1,여행 편의성,가족형,2,서울 단기형,410.0,5.0,특수 목적,K-컬처형
9122,3,1,안전 및 퀄리티,가족형,2,서울 심층형,189.675925925926,9.0,경험형,K-컬처형
9123,1,1,안전 및 퀄리티,가족형,2,서울 심층형,194.791666666667,9.0,도시 소비형,경험 및 관계
9126,5,1,여행 편의성,가족형,2,서울 단기형,134.0625,4.0,특수 목적,경험 및 관계
9127,5,1,여행 편의성,가족형,1,서울 단기형,850.0,4.0,특수 목적,K-컬처형
9128,2,1,여행 편의성,가족형,3,수도권/지방형(탐험가형),232.864583333333,8.0,도시 소비형,K-컬처형
9132,4,1,여행 편의성,단체형,1,서울 단기형,175.95,5.0,"역사, 전통, 자연",경험 및 관계
9133,3,1,가성비,복합형(가족+친구),2,서울 심층형,230.714285714286,7.0,도시 소비형,K-컬처형
9134,3,1,안전 및 퀄리티,단체형,2,서울 단기형,340.0,5.0,도시 소비형,K-컬처형
9135,4,4,여행 편의성,혼자형,1,서울 단기형,349.35,4.0,경험형,경험 및 관계
9136,5,4,안전 및 퀄리티,단체형,3,서울 심층형,375.0,8.0,경험형,K-컬처형
9137,1,1,여행 편의성,단체형,1,서울 단기형,255.0,5.0,"역사, 전통, 자연",가성비 및 접근성
9139,3,1,안전 및 퀄리티,가족형,1,서울 심층형,430.666666666667,6.0,특수 목적,K-컬처형
9141,2,1,여행 편의성,친구형,2,서울 심층형,148.854230769231,13.0,특수 목적,경험 및 관계
9143,5,1,여행 편의성,가족형,2,수도권/지방형(탐험가형),240.833333333333,4.0,"역사, 전통, 자연",경험 및 관계
9144,3,1,안전 및 퀄리티,가족형,1,서울 심층형,58.4375,8.0,특수 목적,경험 및 관계
9145,5,1,안전 및 퀄리티,가족형,2,서울 심층형,208.333333333333,6.0,"역사, 전통, 자연",가성비 및 접근성
9148,2,1,여행 편의성,가족형,3,서울 단기형,204.0,5.0,특수 목적,경험 및 관계
9150,2,1,안전 및 퀄리티,혼자형,2,서울 심층형,100.305,8.0,"역사, 전통, 자연",K-컬처형
9152,5,1,여행 편의성,가족형,2,서울 심층형,230.769230769231,13.0,"역사, 전통, 자연",경험 및 관계
9158,4,1,여행 편의성,혼자형,1,서울 단기형,840.0,5.0,경험형,경험 및 관계
9160,3,2,여행 편의성,단체형,2,서울 단기형,437.418,5.0,도시 소비형,K-컬처형
9162,5,1,안전 및 퀄리티,가족형,1,서울 단기형,319.75,4.0,도시 소비형,경험 및 관계
9163,2,1,가성비,단체형,1,서울 심층형,277.116666666667,6.0,도시 소비형,K-컬처형
9165,6,4,안전 및 퀄리티,단체형,1,서울 단기형,224.0,4.0,도시 소비형,K-컬처형
9169,4,1,안전 및 퀄리티,가족형,1,서울 단기형,215.0,3.0,경험형,경험 및 관계
9170,4,1,여행 편의성,복합형(가족+친구),1,서울 심층형,262.01,6.0,경험형,가성비 및 접근성
9172,6,4,가성비,친구형,1,서울 단기형,256.0,5.0,도시 소비형,K-컬처형
9173,2,4,안전 및 퀄리티,혼자형,1,서울 단기형,384.0,3.0,경험형,경험 및 관계
9174,3,4,여행 편의성,혼자형,1,서울 단기형,320.0,4.0,특수 목적,가성비 및 접근성
9179,2,1,여행 편의성,혼자형,1,서울 단기형,185.13075,4.0,경험형,K-컬처형
9180,2,4,가성비,친구형,1,서울 단기형,320.0,4.0,도시 소비형,가성비 및 접근성
9181,6,1,여행 편의성,가족형,1,서울 심층형,508.5625,6.0,"역사, 전통, 자연",K-컬처형
9182,5,1,안전 및 퀄리티,가족형,2,서울 심층형,210.50625,8.0,도시 소비형,가성비 및 접근성
9183,4,4,가성비,가족형,1,서울 단기형,176.0,4.0,도시 소비형,가성비 및 접근성
9185,2,1,여행 편의성,혼자형,1,서울 단기형,445.8,5.0,경험형,K-컬처형
9186,4,3,여행 편의성,가족형,1,서울 단기형,309.333333333333,3.0,도시 소비형,경험 및 관계
9188,2,1,여행 편의성,친구형,1,서울 심층형,313.7225,8.0,도시 소비형,경험 및 관계
9190,5,3,안전 및 퀄리티,혼자형,1,서울 단기형,248.0,4.0,도시 소비형,가성비 및 접근성
9192,2,2,안전 및 퀄리티,친구형,1,서울 단기형,201.6,4.0,도시 소비형,경험 및 관계
9193,5,3,여행 편의성,친구형,1,서울 단기형,367.36,5.0,도시 소비형,K-컬처형
9194,5,2,가성비,친구형,1,서울 단기형,230.4,4.0,경험형,K-컬처형
9197,5,4,여행 편의성,친구형,2,서울 단기형,240.0,4.0,경험형,K-컬처형
9198,3,4,가성비,친구형,1,서울 단기형,710.7,5.0,도시 소비형,K-컬처형
9199,3,3,여행 편의성,친구형,1,서울 단기형,370.8,5.0,도시 소비형,K-컬처형
9200,2,4,가성비,친구형,1,서울 단기형,349.44,5.0,도시 소비형,가성비 및 접근성
9201,4,4,안전 및 퀄리티,친구형,1,서울 단기형,871.998,5.0,도시 소비형,K-컬처형
9202,4,4,여행 편의성,친구형,1,서울 단기형,1473.93,5.0,도시 소비형,K-컬처형
9203,2,2,여행 편의성,친구형,1,서울 단기형,317.034,5.0,도시 소비형,K-컬처형
9204,3,3,안전 및 퀄리티,가족형,1,서울 심층형,203.425,6.0,도시 소비형,경험 및 관계
9205,2,1,안전 및 퀄리티,친구형,1,서울 단기형,282.735,4.0,특수 목적,가성비 및 접근성
9207,3,2,안전 및 퀄리티,혼자형,1,서울 단기형,1528.96625,4.0,특수 목적,K-컬처형
9208,3,4,가성비,친구형,1,서울 심층형,615.953333333333,6.0,도시 소비형,K-컬처형
9211,5,4,여행 편의성,가족형,1,서울 단기형,416.285625,4.0,경험형,K-컬처형
9212,2,2,여행 편의성,혼자형,1,서울 단기형,627.445,3.0,도시 소비형,경험 및 관계
9216,4,3,안전 및 퀄리티,친구형,1,서울 단기형,203.2,4.0,특수 목적,K-컬처형
9217,4,1,안전 및 퀄리티,친구형,1,서울 단기형,237.866666666667,3.0,도시 소비형,K-컬처형
9218,3,4,가성비,친구형,1,서울 단기형,268.8,3.0,도시 소비형,K-컬처형
9219,2,1,안전 및 퀄리티,혼자형,1,서울 심층형,685.714285714286,7.0,경험형,경험 및 관계
9220,2,1,가성비,직장형,1,서울 단기형,240.0,4.0,도시 소비형,K-컬처형
9221,2,1,안전 및 퀄리티,가족형,1,서울 단기형,265.6,3.0,도시 소비형,K-컬처형
9222,2,4,여행 편의성,친구형,1,서울 단기형,219.2,4.0,도시 소비형,가성비 및 접근성
9223,2,4,여행 편의성,가족형,1,서울 단기형,189.6,4.0,"역사, 전통, 자연",가성비 및 접근성
9224,2,4,가성비,가족형,1,서울 단기형,240.0,4.0,도시 소비형,K-컬처형
9225,1,2,여행 편의성,가족형,1,서울 단기형,192.0,3.0,도시 소비형,K-컬처형
9226,2,3,안전 및 퀄리티,친구형,1,서울 단기형,192.0,4.0,도시 소비형,경험 및 관계
9227,2,3,여행 편의성,친구형,1,서울 단기형,260.266666666667,3.0,도시 소비형,가성비 및 접근성
9228,3,4,안전 및 퀄리티,친구형,1,서울 단기형,197.333333333333,3.0,도시 소비형,K-컬처형
9230,5,4,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),216.3,5.0,특수 목적,K-컬처형
9232,3,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),207.03,5.0,도시 소비형,경험 및 관계
9234,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),185.97462,5.0,도시 소비형,경험 및 관계
9236,4,2,여행 편의성,가족형,1,수도권/지방형(탐험가형),228.66,5.0,"역사, 전통, 자연",경험 및 관계
9237,4,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),185.4,5.0,"역사, 전통, 자연",가성비 및 접근성
9238,5,1,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),216.3,5.0,"역사, 전통, 자연",경험 및 관계
9239,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),413.7,5.0,경험형,K-컬처형
9240,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),209.608,5.0,"역사, 전통, 자연",K-컬처형
9241,2,1,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),286.832,5.0,도시 소비형,K-컬처형
9242,2,1,안전 및 퀄리티,단체형,1,수도권/지방형(탐험가형),110.32,5.0,도시 소비형,경험 및 관계
9243,2,1,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),165.48,5.0,"역사, 전통, 자연",K-컬처형
9245,4,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),340.153333333333,5.0,도시 소비형,가성비 및 접근성
9246,3,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),206.85,5.0,"역사, 전통, 자연",가성비 및 접근성
9247,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),241.325,4.0,경험형,가성비 및 접근성
9248,3,1,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),292.348,5.0,"역사, 전통, 자연",가성비 및 접근성
9249,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),324.065,4.0,도시 소비형,가성비 및 접근성
9250,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),91.9333333333333,6.0,"역사, 전통, 자연",K-컬처형
9251,3,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),187.544,5.0,도시 소비형,가성비 및 접근성
9252,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),247.645416666667,6.0,경험형,K-컬처형
9253,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),303.38,5.0,도시 소비형,가성비 및 접근성
9254,5,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),284.993333333333,5.0,도시 소비형,가성비 및 접근성
9255,2,1,여행 편의성,혼자형,1,수도권/지방형(탐험가형),234.43,4.0,도시 소비형,K-컬처형
9256,5,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),330.96,5.0,도시 소비형,가성비 및 접근성
9257,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),275.8,4.0,"역사, 전통, 자연",가성비 및 접근성
9258,3,1,여행 편의성,복합형(가족+친구),1,수도권/지방형(탐험가형),206.85,5.0,"역사, 전통, 자연",가성비 및 접근성
9259,4,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),517.125,4.0,도시 소비형,가성비 및 접근성
9260,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),248.22,4.0,"역사, 전통, 자연",K-컬처형
9261,3,3,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),216.151,5.0,"역사, 전통, 자연",K-컬처형
9262,4,3,여행 편의성,가족형,1,수도권/지방형(탐험가형),460.586,5.0,특수 목적,K-컬처형
9263,5,2,여행 편의성,친구형,1,수도권/지방형(탐험가형),869.72,5.0,도시 소비형,가성비 및 접근성
9264,3,4,가성비,단체형,1,수도권/지방형(탐험가형),1189.3875,4.0,특수 목적,K-컬처형
9265,3,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),259.252,5.0,도시 소비형,가성비 및 접근성
9266,3,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),591.24625,4.0,"역사, 전통, 자연",경험 및 관계
9267,5,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),361.9875,4.0,"역사, 전통, 자연",경험 및 관계
9268,5,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),275.8,4.0,도시 소비형,가성비 및 접근성
9269,5,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),741.2125,4.0,"역사, 전통, 자연",가성비 및 접근성
9270,2,4,여행 편의성,가족형,1,수도권/지방형(탐험가형),170.89,5.0,"역사, 전통, 자연",가성비 및 접근성
9271,3,2,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),337.0,5.0,도시 소비형,경험 및 관계
9272,3,4,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),215.47,5.0,"역사, 전통, 자연",K-컬처형
9275,2,1,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),247.666666666667,6.0,"역사, 전통, 자연",경험 및 관계
9276,5,1,여행 편의성,가족형,2,서울 심층형,114.545833333333,6.0,"역사, 전통, 자연",가성비 및 접근성
9277,2,1,안전 및 퀄리티,직장형,1,수도권/지방형(탐험가형),211.446666666667,6.0,"역사, 전통, 자연",가성비 및 접근성
9278,2,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),162.0325,4.0,도시 소비형,가성비 및 접근성
9279,3,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),151.69,5.0,"역사, 전통, 자연",가성비 및 접근성
9280,3,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),239.026666666667,5.0,도시 소비형,가성비 및 접근성
9281,4,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),275.8,4.0,"역사, 전통, 자연",가성비 및 접근성
9282,5,1,여행 편의성,가족형,1,수도권/지방형(탐험가형),330.96,5.0,"역사, 전통, 자연",가성비 및 접근성
9283,5,2,여행 편의성,가족형,1,수도권/지방형(탐험가형),534.3625,4.0,"역사, 전통, 자연",가성비 및 접근성
9285,3,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),151.69,5.0,"역사, 전통, 자연",K-컬처형
9288,3,2,여행 편의성,가족형,1,수도권/지방형(탐험가형),544.705,5.0,"역사, 전통, 자연",가성비 및 접근성
9289,5,2,여행 편의성,가족형,1,수도권/지방형(탐험가형),441.28,5.0,"역사, 전통, 자연",가성비 및 접근성
9292,4,2,여행 편의성,가족형,1,수도권/지방형(탐험가형),274.421,5.0,"역사, 전통, 자연",경험 및 관계
9293,4,3,여행 편의성,가족형,1,수도권/지방형(탐험가형),432.086666666667,5.0,"역사, 전통, 자연",경험 및 관계
9296,4,2,여행 편의성,가족형,1,서울 단기형,341.25,4.0,특수 목적,가성비 및 접근성
9298,2,2,여행 편의성,친구형,1,서울 단기형,443.625,4.0,도시 소비형,K-컬처형
9303,4,3,여행 편의성,가족형,2,서울 단기형,382.2,5.0,도시 소비형,경험 및 관계
9304,3,3,여행 편의성,친구형,1,서울 단기형,211.575,4.0,"역사, 전통, 자연",K-컬처형
9305,2,1,여행 편의성,혼자형,1,서울 심층형,275.761071428571,21.0,경험형,경험 및 관계
9308,5,4,여행 편의성,친구형,1,서울 단기형,426.666666666667,3.0,경험형,K-컬처형
9310,5,4,안전 및 퀄리티,친구형,1,서울 단기형,264.8,4.0,경험형,K-컬처형
9311,2,4,가성비,친구형,1,서울 단기형,226.4,4.0,경험형,K-컬처형
9312,3,2,안전 및 퀄리티,친구형,1,서울 단기형,409.5,4.0,도시 소비형,가성비 및 접근성
9314,2,1,가성비,혼자형,1,서울 단기형,178.24,4.0,경험형,K-컬처형
9315,2,4,가성비,혼자형,1,서울 단기형,170.4,4.0,경험형,K-컬처형
9317,2,1,여행 편의성,친구형,1,서울 단기형,264.768,5.0,도시 소비형,가성비 및 접근성
9321,4,1,여행 편의성,가족형,2,서울 심층형,211.983333333333,12.0,"역사, 전통, 자연",경험 및 관계
9329,2,4,여행 편의성,혼자형,1,서울 심층형,161.54,7.0,"역사, 전통, 자연",K-컬처형
9331,2,1,가성비,친구형,1,서울 단기형,305.066666666667,3.0,"역사, 전통, 자연",경험 및 관계
9332,2,4,가성비,친구형,1,서울 단기형,323.2,4.0,도시 소비형,가성비 및 접근성
9335,2,1,안전 및 퀄리티,혼자형,1,서울 단기형,551.6,3.0,경험형,K-컬처형
9336,4,1,여행 편의성,가족형,3,서울 심층형,134.458,15.0,"역사, 전통, 자연",가성비 및 접근성
9340,5,4,안전 및 퀄리티,친구형,1,서울 단기형,465.066666666667,3.0,도시 소비형,K-컬처형
9342,2,1,안전 및 퀄리티,복합형(가족+친구),2,서울 심층형,138.790846153846,13.0,도시 소비형,K-컬처형
9344,3,3,안전 및 퀄리티,가족형,1,서울 단기형,392.4375,4.0,도시 소비형,K-컬처형
9345,3,4,안전 및 퀄리티,친구형,1,서울 단기형,344.75,4.0,경험형,K-컬처형
9346,4,3,가성비,가족형,1,서울 단기형,144.533333333333,4.0,도시 소비형,K-컬처형
9347,2,2,안전 및 퀄리티,친구형,1,서울 단기형,288.0,3.0,도시 소비형,가성비 및 접근성
9348,3,3,여행 편의성,친구형,2,서울 심층형,140.048769230769,13.0,"역사, 전통, 자연",경험 및 관계
9349,3,1,안전 및 퀄리티,친구형,1,서울 단기형,146.174,5.0,"역사, 전통, 자연",K-컬처형
9350,2,1,여행 편의성,친구형,1,서울 단기형,204.8,4.0,도시 소비형,가성비 및 접근성
9351,2,1,가성비,친구형,1,서울 단기형,199.68,5.0,특수 목적,가성비 및 접근성
9352,2,3,여행 편의성,혼자형,1,서울 단기형,248.22,5.0,경험형,K-컬처형
9355,2,1,여행 편의성,혼자형,1,서울 단기형,275.8,3.0,경험형,K-컬처형
9356,3,1,여행 편의성,단체형,1,서울 단기형,241.325,4.0,경험형,K-컬처형
9357,3,1,여행 편의성,직장형,1,서울 단기형,230.9825,4.0,특수 목적,가성비 및 접근성
9358,2,2,여행 편의성,친구형,1,서울 단기형,213.333333333333,3.0,도시 소비형,가성비 및 접근성
9359,5,2,여행 편의성,혼자형,1,서울 심층형,1687.5,7.0,도시 소비형,경험 및 관계
9360,2,1,여행 편의성,혼자형,2,서울 단기형,283.452,5.0,"역사, 전통, 자연",경험 및 관계
9363,2,1,가성비,혼자형,1,서울 단기형,250.0,4.0,"역사, 전통, 자연",경험 및 관계
9366,3,2,안전 및 퀄리티,친구형,1,서울 단기형,371.2,3.0,도시 소비형,K-컬처형
9367,2,1,여행 편의성,혼자형,1,서울 단기형,275.8,3.0,경험형,가성비 및 접근성
9368,2,2,안전 및 퀄리티,친구형,1,서울 단기형,290.133333333333,3.0,도시 소비형,가성비 및 접근성
9369,2,4,여행 편의성,친구형,1,서울 단기형,321.066666666667,3.0,특수 목적,경험 및 관계
9370,3,1,안전 및 퀄리티,친구형,2,서울 심층형,150.0,11.0,"역사, 전통, 자연",경험 및 관계
9371,2,1,가성비,가족형,1,서울 단기형,192.0,4.0,도시 소비형,경험 및 관계
9372,3,1,여행 편의성,친구형,1,서울 단기형,229.833333333333,3.0,경험형,K-컬처형
9374,6,4,안전 및 퀄리티,친구형,1,서울 단기형,313.6,2.0,도시 소비형,경험 및 관계
9375,2,1,여행 편의성,가족형,3,서울 심층형,205.926666666667,9.0,"역사, 전통, 자연",경험 및 관계
9376,3,4,여행 편의성,혼자형,1,서울 단기형,330.96,3.0,경험형,K-컬처형
9378,2,2,여행 편의성,가족형,1,서울 단기형,187.2,4.0,도시 소비형,K-컬처형
9379,2,1,여행 편의성,친구형,1,서울 단기형,200.533333333333,3.0,도시 소비형,K-컬처형
9380,4,1,여행 편의성,친구형,1,서울 단기형,551.6,4.0,"역사, 전통, 자연",가성비 및 접근성
9381,3,2,여행 편의성,친구형,1,서울 단기형,248.22,3.0,경험형,K-컬처형
9384,3,1,여행 편의성,친구형,1,서울 단기형,275.8,4.0,"역사, 전통, 자연",경험 및 관계
9385,2,1,가성비,친구형,1,서울 단기형,341.333333333333,3.0,특수 목적,경험 및 관계
9386,3,3,가성비,친구형,1,서울 단기형,256.0,3.0,도시 소비형,가성비 및 접근성
9387,2,1,안전 및 퀄리티,가족형,2,서울 심층형,264.285714285714,7.0,"역사, 전통, 자연",경험 및 관계
9389,4,4,안전 및 퀄리티,가족형,1,서울 단기형,279.466666666667,3.0,도시 소비형,경험 및 관계
9390,2,3,여행 편의성,혼자형,1,서울 단기형,448.175,4.0,경험형,K-컬처형
9392,2,1,가성비,가족형,2,서울 심층형,161.538461538462,13.0,경험형,경험 및 관계
9393,2,1,여행 편의성,가족형,2,서울 심층형,176.923076923077,13.0,도시 소비형,경험 및 관계
9394,2,2,여행 편의성,친구형,3,서울 심층형,177.777777777778,18.0,특수 목적,K-컬처형
9396,2,4,여행 편의성,혼자형,1,서울 단기형,422.893333333333,3.0,경험형,K-컬처형
9401,5,1,가성비,복합형(가족+친구),2,서울 심층형,128.887755102041,7.0,"역사, 전통, 자연",경험 및 관계
9402,2,4,여행 편의성,친구형,1,서울 단기형,248.22,5.0,경험형,K-컬처형
9405,3,4,안전 및 퀄리티,친구형,1,서울 단기형,744.66,5.0,경험형,K-컬처형
9407,5,1,여행 편의성,가족형,3,서울 심층형,194.468653125,8.0,"역사, 전통, 자연",경험 및 관계
9408,2,4,여행 편의성,친구형,1,서울 단기형,349.866666666667,3.0,특수 목적,K-컬처형
9410,4,4,안전 및 퀄리티,친구형,1,서울 단기형,414.4,4.0,특수 목적,K-컬처형
9413,2,1,여행 편의성,가족형,1,서울 단기형,234.666666666667,3.0,도시 소비형,K-컬처형
9414,5,4,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),1185.94,5.0,도시 소비형,가성비 및 접근성
9415,2,1,가성비,친구형,1,서울 단기형,234.666666666667,3.0,경험형,경험 및 관계
9418,3,1,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),101.126666666667,15.0,"역사, 전통, 자연",K-컬처형
9419,3,4,여행 편의성,혼자형,1,서울 단기형,195.0,3.0,경험형,K-컬처형
9420,3,1,가성비,단체형,1,서울 단기형,360.5,3.0,경험형,경험 및 관계
9421,2,2,안전 및 퀄리티,가족형,1,서울 단기형,1048.04,5.0,경험형,K-컬처형
9422,5,1,여행 편의성,가족형,1,서울 심층형,171.875,8.0,"역사, 전통, 자연",K-컬처형
9424,4,2,여행 편의성,친구형,3,서울 단기형,482.04,5.0,경험형,K-컬처형
9425,3,1,안전 및 퀄리티,가족형,3,서울 단기형,293.88,5.0,"역사, 전통, 자연",경험 및 관계
9426,3,4,여행 편의성,가족형,1,서울 단기형,234.84,5.0,도시 소비형,경험 및 관계
9428,4,3,안전 및 퀄리티,가족형,1,서울 단기형,309.0,5.0,"역사, 전통, 자연",가성비 및 접근성
9429,1,1,여행 편의성,가족형,2,서울 단기형,243.75,4.0,경험형,K-컬처형
