아이디,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,숙박시설_그룹,여행동반자_그룹,방문 지역 수,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측
1765,1,6,1,1,2.0,3,호텔,가족형,1,0.298,0.0331125827814569,0.052980132450331,0.0,0.0,0.3973509933774838,0.1986754966887413,0.0198675496688741,서울 단기형,329.4216,5.0
1766,1,4,3,2,2.0,3,호텔,혼자형,1,0.329,0.1174812030075188,0.0366541353383459,0.0,0.0,0.3759398496240601,0.093984962406015,0.0469924812030076,서울 심층형,273.353142857143,7.0
1767,2,2,2,7,1.0,6,호텔,친구형,2,0.294,0.0588581518540317,0.1171277221895231,0.0,0.0,0.5297233666862867,0.0,0.0,서울 단기형,159.965,4.0
1768,1,3,1,6,10.0,6,호텔,가족형,1,0.275,0.1372549019607841,0.0392156862745097,0.0,0.0,0.0784313725490197,0.3921568627450978,0.0784313725490197,서울 단기형,340.0,5.0
1769,2,2,4,3,8.0,2,친척 또는 친구 집,친구형,2,0.15,0.012531328320802,0.0,0.4385964912280702,0.0,0.0,0.3759398496240602,0.0225563909774436,수도권/지방형(탐험가형),165.18125,8.0
1772,2,2,1,6,9.0,6,게스트하우스/호스텔,친구형,1,0.23,0.0804597701149425,0.0,0.0,0.0,0.3448275862068966,0.3448275862068966,0.0,서울 심층형,284.484,6.0
1774,2,2,1,1,5.0,6,기타,복합형(가족+친구),2,0.165,0.2134146341463413,0.0365853658536585,0.0,0.0,0.3048780487804879,0.2439024390243904,0.0365853658536585,서울 심층형,160.491428571429,14.0
1776,2,3,1,4,1.0,6,호텔,가족형,1,0.09,0.0149253731343283,0.0,0.0,0.0,0.1492537313432831,0.7462686567164183,0.0,서울 심층형,298.071428571429,7.0
1777,2,2,1,1,5.0,6,기타,친구형,1,0.449,0.0512820512820512,0.0128205128205128,0.0,0.0,0.3205128205128207,0.1666666666666671,0.0,서울 심층형,197.672727272727,11.0
1778,1,4,4,6,7.0,3,호텔,가족형,1,0.033,0.0334728033472803,0.0,0.0334728033472803,0.0,0.0602510460251046,0.8368200836820083,0.002510460251046,서울 심층형,1212.15714285714,7.0
1782,1,3,1,1,4.0,4,호텔,가족형,2,0.196,0.0196078431372548,0.0,0.0,0.0,0.7843137254901965,0.0,0.0,서울 심층형,217.44,6.0
1786,2,3,1,1,6.0,3,게스트하우스/호스텔,혼자형,4,0.254,0.1163026917216858,0.0507872016251904,0.0,0.0,0.5078720162519049,0.0507872016251904,0.0203148806500761,서울 심층형,120.8,27.0
1787,1,3,1,1,4.0,4,호텔,가족형,1,0.282,0.0985915492957747,0.0,0.0,0.0,0.2816901408450699,0.3380281690140855,0.0,서울 단기형,851.64,3.0
1788,1,3,1,5,10.0,5,호텔,가족형,1,0.171,0.012847965738758,0.0,0.0,0.0,0.1713062098501074,0.6423982869379006,0.0021413276231263,서울 단기형,361.66,5.0
1790,2,2,4,5,2.0,7,친척 또는 친구 집,혼자형,3,0.2,0.0999999999999999,0.0,0.4999999999999998,0.0,0.0,0.1999999999999997,0.0,서울 심층형,278.2,6.0
1791,2,2,1,1,1.0,3,호텔,직장형,1,0.162,0.0756756756756756,0.0,0.0,0.0,0.3243243243243246,0.4324324324324324,0.0054054054054054,서울 단기형,306.02,5.0
1794,1,3,1,1,4.0,6,호텔,직장형,1,0.359,0.059880239520958,0.0,0.0,0.0,0.4191616766467066,0.1197604790419161,0.0419161676646706,서울 단기형,548.2246,5.0
1795,2,3,1,5,2.0,6,친척 또는 친구 집,혼자형,2,0.404,0.0808080808080808,0.0,0.0,0.0,0.101010101010101,0.4040404040404041,0.0101010101010101,서울 단기형,186.394,5.0
1799,1,3,2,4,2.0,4,호텔,가족형,1,0.198,0.0495049504950495,0.0,0.0,0.0,0.2475247524752475,0.495049504950495,0.0099009900990099,서울 단기형,182.221,5.0
1800,2,3,4,5,10.0,5,호텔,단체형,1,0.191,0.1092896174863388,0.0,0.081967213114754,0.5464480874316939,0.0,0.0546448087431694,0.0163934426229508,서울 단기형,414.8,3.0
1804,2,2,3,5,1.0,4,호텔,친구형,1,0.139,0.0245901639344262,0.0,0.0,0.4098360655737705,0.0,0.4098360655737705,0.0163934426229508,서울 단기형,276.533333333333,3.0
1805,1,4,1,7,1.0,5,호텔,친구형,1,0.155,0.0353982300884955,0.0,0.0,0.3539823008849557,0.0,0.4424778761061946,0.0132743362831858,서울 단기형,512.266666666667,3.0
1807,2,2,2,6,5.0,1,호텔,친구형,1,0.16,0.0638977635782748,0.5750798722044728,0.0,0.0,0.1597444089456869,0.0319488817891373,0.0095846645367412,서울 단기형,231.833333333333,3.0
1809,2,2,1,6,5.0,6,기타,혼자형,1,0.047,0.0232558139534883,0.0,0.0,0.0,0.2325581395348837,0.6976744186046512,0.0,서울 심층형,176.666666666667,30.0
1810,2,2,1,5,1.0,6,호텔,혼자형,1,0.275,0.0274725274725274,0.0,0.0,0.0,0.5494505494505499,0.1373626373626372,0.010989010989011,서울 단기형,353.856666666667,3.0
1812,2,2,2,2,2.0,5,호텔,친구형,0,0.152,0.0331125827814569,0.0,0.0,0.4635761589403974,0.0,0.3311258278145695,0.0198675496688741,서울 단기형,342.266666666667,3.0
1813,2,1,1,6,5.0,6,호텔,가족형,1,0.171,0.0652724968314321,0.0887198986058301,0.0,0.0,0.3485424588086179,0.316856780735108,0.0095057034220532,서울 심층형,231.833333333333,6.0
1814,2,3,4,6,5.0,6,호텔,가족형,1,0.23,0.0402298850574712,0.3160919540229885,0.0,0.0,0.2298850574712643,0.1724137931034483,0.0114942528735632,서울 단기형,330.800512,5.0
1815,2,2,4,6,5.0,5,게스트하우스/호스텔,가족형,1,0.132,0.0471698113207548,0.0566037735849056,0.0,0.0,0.3773584905660375,0.3773584905660375,0.0094339622641509,서울 심층형,63.95,10.0
1816,1,2,1,4,5.0,3,콘도미니엄/리조트,혼자형,2,0.333,0.0809523809523809,0.0476190476190476,0.0,0.0,0.285714285714286,0.2380952380952383,0.0142857142857142,수도권/지방형(탐험가형),185.466666666667,3.0
1817,1,2,1,3,1.0,4,호텔,가족형,1,0.22,0.0659340659340659,0.0,0.0,0.0,0.1648351648351645,0.5494505494505498,0.0,서울 심층형,468.966666666667,6.0
1819,2,2,1,6,2.0,3,호텔,기타형,1,0.0,0.0,0.0,0.0,0.7444168734491312,0.0,0.2481389578163774,0.0074441687344913,서울 심층형,185.466666666667,6.0
1820,2,2,2,7,2.0,2,숙박하지않음,친구형,1,0.3,0.0,0.0,0.0,0.0,0.4,0.3,0.0,서울 단기형,639.5,1.0
1822,1,2,1,1,2.0,5,게스트하우스/호스텔,가족형,1,0.255,0.0,0.0729927007299272,0.0,0.0,0.1094890510948905,0.5474452554744526,0.0145985401459853,서울 심층형,319.75,8.0
1826,2,3,1,6,1.0,2,호텔,친구형,1,0.652,0.0621118012422359,0.0062111801242236,0.0,0.0,0.186335403726708,0.093167701863354,0.0,서울 단기형,184.5985,5.0
1828,2,4,4,2,1.0,1,호텔,혼자형,3,0.138,0.0742187499999999,0.0,0.0,0.0,0.651041666666666,0.1302083333333337,0.0065104166666666,수도권/지방형(탐험가형),382.608695652174,23.0
1829,2,3,4,6,5.0,6,게스트하우스/호스텔,혼자형,1,0.219,0.1605839416058393,0.218978102189781,0.0,0.0,0.2919708029197079,0.0729927007299271,0.0364963503649635,서울 심층형,144.0,6.0
1830,2,2,1,6,5.0,6,호텔,친구형,3,0.326,0.1413043478260869,0.0217391304347826,0.0,0.0,0.3913043478260869,0.108695652173913,0.0108695652173913,서울 심층형,164.892,15.0
1831,2,3,2,7,10.0,5,호텔,친구형,1,0.195,0.0212404418011894,0.0084961767204757,0.0,0.0,0.339847068819031,0.4248088360237902,0.0101954120645709,서울 심층형,264.25,12.0
1832,2,4,4,2,2.0,6,호텔,가족형,1,0.224,0.0834181078331637,0.0010172939979654,0.0,0.6103763987792471,0.0,0.0610376398779247,0.0203458799593082,서울 단기형,158.4,5.0
1834,2,3,2,2,1.0,6,민박/펜션,가족형,2,0.26,0.03125,0.03125,0.0,0.0,0.15625,0.5208333333333334,0.0,서울 단기형,306.02,5.0
1838,2,2,1,1,10.0,6,호텔,친구형,1,0.18,0.0264550264550263,0.0105820105820105,0.0,0.0,0.3439153439153437,0.4232804232804237,0.0158730158730158,서울 단기형,230.02,5.0
1839,1,2,1,1,9.0,2,호텔,혼자형,1,0.288,0.0324324324324324,0.0108108108108107,0.0,0.0,0.3603603603603602,0.2882882882882885,0.0198198198198198,서울 심층형,492.9,6.0
1840,1,3,1,1,9.0,5,호텔,가족형,3,0.247,0.0,0.0123456790123456,0.0,0.0,0.4938271604938278,0.2469135802469132,0.0,수도권/지방형(탐험가형),180.0,10.0
1841,1,5,4,4,10.0,6,호텔,가족형,1,0.253,0.0253164556962025,0.0,0.0,0.0,0.4556962025316455,0.2531645569620258,0.0126582278481012,서울 심층형,132.0,8.0
1842,2,2,1,6,5.0,2,민박/펜션,혼자형,1,0.114,0.0454545454545454,0.3636363636363636,0.0,0.0,0.2272727272727272,0.2272727272727272,0.0227272727272727,서울 단기형,178.048,5.0
1843,1,3,2,2,10.0,3,호텔,가족형,1,0.213,0.0243161094224923,0.2279635258358655,0.0,0.0,0.3343465045592712,0.1519756838905774,0.0486322188449848,서울 단기형,201.6,5.0
1844,2,4,4,2,5.0,5,호텔,혼자형,3,0.217,0.1894409937888198,0.0062111801242236,0.0,0.0,0.3260869565217391,0.2484472049689441,0.0124223602484472,서울 심층형,286.538,11.0
1845,2,2,4,6,5.0,2,호텔,혼자형,1,0.298,0.1914893617021277,0.0,0.0,0.0,0.4255319148936171,0.0,0.0851063829787234,서울 단기형,249.9,2.0
1846,2,5,2,7,10.0,5,호텔,가족형,1,0.127,0.0396825396825397,0.0396825396825396,0.0,0.0,0.3968253968253968,0.3968253968253968,0.0,서울 단기형,256.0,5.0
1848,2,3,4,6,10.0,4,민박/펜션,혼자형,1,0.134,0.0401785714285713,0.4017857142857136,0.0,0.0,0.1785714285714287,0.2232142857142863,0.0223214285714286,서울 단기형,243.425,4.0
1849,2,4,3,6,2.0,4,호텔,친구형,1,0.213,0.0277777777777777,0.0,0.0,0.0,0.2777777777777778,0.4629629629629629,0.0185185185185185,서울 단기형,234.6,4.0
1850,1,5,2,6,1.0,6,호텔,가족형,1,0.357,0.0714285714285714,0.0142857142857142,0.0,0.0,0.3214285714285714,0.2142857142857142,0.0214285714285714,서울 단기형,136.0,5.0
1851,1,2,1,4,5.0,3,호텔,가족형,1,0.261,0.0347826086956522,0.0,0.0,0.0,0.2608695652173914,0.4347826086956517,0.008695652173913,서울 단기형,288.0,5.0
1852,2,4,4,3,8.0,3,호텔,혼자형,1,0.029,0.0532374100719424,0.0920863309352516,0.0,0.0,0.2503597122302156,0.575539568345324,0.0,서울 심층형,514.806666666667,6.0
